bootstrap,model,Accuracy
1,Random Machines,0.9694656488549618
2,Random Machines,0.9327731092436975
3,Random Machines,0.9512195121951219
4,Random Machines,0.890625
5,Random Machines,0.9461538461538461
6,Random Machines,0.950354609929078
7,Random Machines,0.9393939393939394
8,Random Machines,0.9242424242424242
9,Random Machines,0.9457364341085271
10,Random Machines,0.9312977099236641
1,Random Forest,0.9389312977099237
2,Random Forest,0.9411764705882353
3,Random Forest,0.926829268292683
4,Random Forest,0.8984375
5,Random Forest,0.9384615384615385
6,Random Forest,0.9432624113475178
7,Random Forest,0.946969696969697
8,Random Forest,0.9015151515151515
9,Random Forest,0.9302325581395349
10,Random Forest,0.916030534351145
