bootstrap,model,RMSE
1,Random Machines,0.015998306100591934
2,Random Machines,0.015683715840302034
3,Random Machines,0.014363954839193845
4,Random Machines,0.016684556667265805
5,Random Machines,0.015974542877420155
6,Random Machines,0.015784914637452116
7,Random Machines,0.014959285617182147
8,Random Machines,0.016496872088198382
9,Random Machines,0.01522432178238114
10,Random Machines,0.015351538637554778
1,Random Forest,0.016949909156111914
2,Random Forest,0.015711402530796767
3,Random Forest,0.015447045665000145
4,Random Forest,0.01760706844646159
5,Random Forest,0.0159657982601708
6,Random Forest,0.016086822733138433
7,Random Forest,0.015205031163139714
8,Random Forest,0.017001290027396806
9,Random Forest,0.01600312426836252
10,Random Forest,0.016321760607159508
1,Neural Network,0.02321321675553351
2,Neural Network,0.025645301916389366
3,Neural Network,0.028932304963963835
4,Neural Network,0.02971513577236267
5,Neural Network,0.05631586618946482
6,Neural Network,0.035732661409352516
7,Neural Network,0.02467813639622305
8,Neural Network,0.04130117200243481
9,Neural Network,0.02532648416056521
10,Neural Network,0.03608203667828797
